Date/Time,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Weather
12/6/2012 6:00,-5.7,-9.7,73,13,25,102.45,Mainly Clear
12/6/2012 7:00,-5.9,-10,73,11,24.1,102.47,Mainly Clear
12/6/2012 8:00,-4.6,-8.8,72,7,24.1,102.52,Mainly Clear
12/6/2012 9:00,-3.4,-8.9,66,9,48.3,102.53,Mostly Cloudy
12/6/2012 10:00,-2.6,-8.4,64,13,48.3,102.56,Mostly Cloudy
12/6/2012 11:00,-1.8,-8.9,58,13,48.3,102.46,Mainly Clear
12/6/2012 12:00,-1.8,-9.4,56,6,48.3,102.37,Mainly Clear
12/6/2012 13:00,-1,-8.3,58,7,48.3,102.27,Mainly Clear
12/6/2012 14:00,-0.9,-8.7,55,13,48.3,102.21,Mainly Clear
12/6/2012 15:00,-1.2,-7.9,60,11,48.3,102.18,Mainly Clear
12/6/2012 16:00,-2.8,-7.9,68,7,48.3,102.11,Mainly Clear
12/6/2012 17:00,-2.8,-7.6,69,7,25,102.1,Mainly Clear
12/6/2012 18:00,-2.7,-6.8,73,13,25,102.06,Mostly Cloudy
12/6/2012 19:00,-2.8,-7.4,71,9,25,102.05,Mostly Cloudy
12/6/2012 20:00,-1.9,-7.4,66,7,25,101.95,Mostly Cloudy
12/6/2012 21:00,-1.7,-7,67,11,25,101.88,Cloudy
12/6/2012 22:00,-1.4,-7.2,65,17,25,101.8,Cloudy
12/6/2012 23:00,-1.1,-6,69,7,25,101.73,Mostly Cloudy
12/7/2012 0:00,-1.3,-5.9,71,13,25,101.67,Mostly Cloudy
12/7/2012 1:00,-1.5,-5.7,73,7,25,101.58,Mostly Cloudy
12/7/2012 2:00,-1.3,-5.3,74,9,25,101.51,Mainly Clear
12/7/2012 3:00,-1.8,-5.3,77,9,25,101.46,Mainly Clear
12/7/2012 4:00,-2.7,-5.7,80,11,25,101.38,Mostly Cloudy
12/7/2012 5:00,-2.2,-5.5,78,11,25,101.3,Mostly Cloudy
12/7/2012 6:00,-2.9,-5.5,82,7,25,101.27,Cloudy
12/7/2012 7:00,-2.8,-5.3,83,11,24.1,101.3,Mostly Cloudy
12/7/2012 8:00,-3.3,-5.4,85,7,24.1,101.29,Cloudy
12/7/2012 9:00,-2.1,-4.7,82,7,24.1,101.32,Mostly Cloudy
12/7/2012 10:00,1.2,-5.8,60,9,48.3,101.26,Mostly Cloudy
12/7/2012 11:00,2.6,-5,57,4,48.3,101.24,Mostly Cloudy
12/7/2012 12:00,3,-5,56,4,24.1,101.2,Cloudy
12/7/2012 13:00,3.7,-4.3,56,6,48.3,101.15,Cloudy
12/7/2012 14:00,3.9,-4.3,55,11,48.3,101.09,Cloudy
12/7/2012 15:00,3.9,-3.3,59,11,48.3,101.11,Cloudy
12/7/2012 16:00,3.5,-3.8,59,9,24.1,101.13,Cloudy
12/7/2012 17:00,2.8,-3.3,64,11,25,101.14,Cloudy
12/7/2012 18:00,2.2,-3.5,66,7,25,101.13,Mostly Cloudy
12/7/2012 19:00,2.2,-3.3,67,6,25,101.17,Cloudy
12/7/2012 20:00,2.1,-3.1,68,4,25,101.18,Cloudy
12/7/2012 21:00,2,-3.1,69,6,25,101.18,Cloudy
12/7/2012 22:00,2.3,-2.5,71,4,25,101.19,Cloudy
12/7/2012 23:00,1.5,-2.2,76,4,19.3,101.22,Snow
12/8/2012 0:00,1.8,-1.4,79,4,25,101.2,Snow
12/8/2012 1:00,2,-1.3,79,6,25,101.17,Cloudy
12/8/2012 2:00,2,-1.9,75,7,25,101.17,Cloudy
